Program Time [s],AccX,AccY,AccZ
2535.04,749.02,422.36,545.9
2535.07,740.72,416.02,551.27
2535.11,739.75,413.09,556.15
2535.14,741.21,398.44,538.57
2535.18,734.37,411.13,551.76
2535.21,740.72,416.02,541.5
2535.24,744.14,418.46,542.97
2535.28,723.63,416.5,544.43
2535.31,731.93,409.18,558.11
2535.34,737.3,404.79,547.85
2535.38,731.45,413.57,541.5
2535.41,740.72,408.2,550.29
2535.45,730.47,424.8,552.73
2535.48,738.28,396.48,537.11
2535.51,736.82,411.62,544.92
2535.55,746.09,408.2,540.53
2535.58,725.1,419.92,532.23
2535.62,737.3,416.99,544.92
2535.65,745.12,419.43,546.87
2535.68,747.56,414.55,553.22
2535.72,745.61,409.67,547.85
2535.75,743.65,417.97,539.06
2535.78,752.93,410.16,548.34
2535.82,737.79,400.88,541.99
2535.85,737.79,407.71,544.43
2535.89,730.96,406.74,547.85
2535.92,733.89,404.3,536.13
2535.95,738.28,406.25,547.85
2535.99,739.26,414.06,545.41
2536.02,735.35,413.57,537.6
2536.06,738.28,409.18,542.48
2536.09,733.89,414.55,541.02
2536.12,738.77,404.3,554.69
2536.16,733.89,412.6,547.36
2536.19,734.86,411.13,544.43
2536.23,721.68,394.53,530.27
2536.26,742.19,413.57,543.95
2536.29,729.98,406.25,547.85
2536.33,734.86,405.76,542.48
2536.36,744.14,427.25,534.67
2536.4,738.77,404.79,543.95
2536.43,730.47,403.81,542.48
2536.46,734.86,423.34,542.97
2536.5,733.89,403.81,538.57
2536.53,737.79,418.46,541.02
2536.56,739.26,410.64,542.97
2536.6,744.63,409.18,540.53
2536.63,744.14,410.64,543.95
2536.67,743.16,406.74,540.04
2536.7,739.26,398.44,546.39
2536.73,734.86,420.41,552.25
2536.77,734.37,413.09,539.06
2536.8,739.75,412.6,536.13
2536.84,737.79,416.02,542.48
2536.87,743.16,420.41,541.02
2536.9,732.91,401.86,545.9
2536.94,736.82,420.9,544.43
2536.97,742.19,404.79,555.66
2537,728.52,409.18,542.48
2537.04,739.75,421.87,541.02
2537.07,741.7,413.57,539.06
2537.11,744.63,413.09,550.78
2537.14,741.7,401.37,545.41
2537.17,738.28,412.11,538.09
2537.21,742.68,418.46,553.22
2537.24,742.19,416.5,545.9
2537.28,738.77,407.23,547.85
2537.31,738.77,422.85,533.69
2537.34,737.79,420.9,532.71
2537.38,745.61,403.81,544.43
2537.41,725.59,414.06,548.34
2537.45,742.68,411.62,551.27
2537.48,744.14,414.06,538.57
2537.51,735.84,402.34,547.36
2537.55,750.49,406.25,550.78
2537.58,728.03,423.34,546.39
2537.61,737.3,404.3,543.95
2537.65,738.77,412.6,546.87
2537.68,738.77,410.64,558.59
2537.72,749.51,409.18,541.99
2537.75,745.12,418.95,547.36
2537.78,745.12,415.04,537.11
2537.82,734.86,406.74,546.87
2537.85,738.77,418.95,542.48
2537.89,731.93,412.11,545.41
2537.92,744.63,416.99,546.39
2537.95,748.05,405.76,544.92
2537.99,744.14,405.27,546.39
2538.02,735.84,425.78,551.76
2538.06,732.42,410.16,535.16
2538.09,737.3,403.81,548.34
2538.12,732.91,414.06,557.13
2538.16,735.35,403.81,548.34
2538.19,745.12,404.79,544.43
2538.22,744.14,410.16,536.62
2538.26,745.61,420.9,543.95
2538.29,738.77,417.48,542.97
2538.33,726.56,419.92,540.04
2538.36,739.75,414.55,543.46
2538.39,750.49,410.64,541.99
2538.43,736.33,404.79,551.76
2538.46,738.28,395.02,532.23
2538.5,746.58,423.34,548.34
2538.53,732.91,405.27,554.2
2538.56,740.72,404.79,536.13
2538.6,746.58,416.5,549.8
2538.63,745.61,407.23,538.57
2538.67,725.59,410.64,538.57
2538.7,733.4,405.27,544.43
2538.73,737.3,415.53,543.95
2538.77,730.47,408.2,521.97
2538.8,734.86,406.25,550.29
2538.83,729,426.27,545.9
2538.87,738.77,408.69,534.67
2538.9,739.26,412.6,535.16
2538.94,738.77,420.41,553.22
2538.97,731.45,409.67,551.76
2539,742.19,405.76,538.57
2539.04,747.56,411.13,546.39
2539.07,729.98,413.09,538.09
2539.11,725.59,415.04,541.5
2539.14,739.26,401.37,549.8
2539.17,744.63,401.86,549.32
2539.21,740.72,406.74,545.9
2539.24,737.3,419.43,540.53
2539.28,748.54,405.27,551.27
2539.31,754.39,414.55,543.46
2539.34,733.4,417.48,544.43
2539.38,744.63,416.5,548.34
2539.41,736.82,412.11,541.5
2539.45,754.88,416.5,550.29
2539.48,734.37,420.9,540.53
2539.51,736.82,408.2,549.32
2539.55,740.72,412.11,545.9
2539.58,751.95,408.69,539.55
2539.61,756.84,399.41,545.9
2539.65,742.19,407.23,545.41
2539.68,736.33,424.8,549.8
2539.72,742.68,407.71,553.71
2539.75,733.4,408.2,541.5
2539.78,736.82,419.92,547.85
2539.82,738.77,424.32,550.78
2539.85,734.37,405.27,554.2
2539.89,734.37,404.3,546.39
2539.92,734.37,413.57,536.62
2539.95,741.7,414.06,541.99
2539.99,731.93,416.99,549.32
2540.02,729.98,410.16,545.9
2540.05,748.05,423.34,539.55
2540.09,739.26,405.76,537.6
2540.12,745.12,412.11,538.09
2540.16,746.58,419.43,550.29
2540.19,751.46,406.25,548.34
2540.22,739.26,393.07,533.2
2540.26,721.68,404.79,536.62
2540.29,709.47,408.69,552.25
2540.33,754.88,417.97,541.5
2540.36,725.1,408.69,521.97
2540.39,759.28,404.79,558.59
2540.43,739.75,415.53,558.59
2540.46,738.77,420.9,545.41
2540.5,748.54,428.71,525.39
2540.53,726.56,411.62,560.06
2540.56,734.37,407.71,557.13
2540.6,743.16,422.36,541.5
2540.63,739.75,422.36,528.81
2540.67,747.07,428.71,542.48
2540.7,730.96,416.5,537.6
2540.73,754.39,404.79,558.59
2540.77,729.49,403.32,550.78
2540.8,745.61,415.53,543.95
2540.83,752.93,423.83,527.34
2540.87,738.77,413.57,525.88
2540.9,733.89,416.5,554.69
2540.94,752.44,397.95,541.99
2540.97,740.72,397.95,550.29
2541,737.79,408.69,542.97
2541.04,728.52,409.67,537.6
2541.07,731.93,415.04,539.06
2541.11,729.49,419.92,544.92
2541.14,747.56,400.88,541.02
2541.17,744.63,416.99,552.25
2541.21,737.79,405.76,545.9
