2023-03-09 18:07:10,172 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:07:13,421 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:07:53,356 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:08:19,540 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:08:22,803 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:08:26,658 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:08:33,405 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:08:36,438 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:09:01,398 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:09:46,465 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:09:49,884 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:10:07,804 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:11:58,306 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:12:01,602 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:12:02,613 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:12:06,078 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:12:09,245 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:12:26,585 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:13:34,442 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:13:37,628 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:13:55,146 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:14:24,352 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:14:27,663 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:15:05,722 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:15:10,407 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:15:13,083 | MainThread   | [ERROR   ] | _connect            |: [org.bluez.Error.Failed] le-connection-abort-by-local
2023-03-09 18:15:14,087 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-03-09 18:15:14,089 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:15:17,391 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:15:35,138 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:16:17,779 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:16:21,028 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:16:29,064 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:16:37,784 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:16:40,735 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:16:59,015 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:18:10,270 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:18:12,943 | MainThread   | [ERROR   ] | _connect            |: [org.bluez.Error.Failed] le-connection-abort-by-local
2023-03-09 18:18:13,947 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-03-09 18:18:13,950 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:18:16,903 | MainThread   | [ERROR   ] | _connect            |: [org.bluez.Error.Failed] le-connection-abort-by-local
2023-03-09 18:18:17,906 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-03-09 18:18:17,908 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:18:21,407 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:19:00,401 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:19:42,268 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:19:44,935 | MainThread   | [ERROR   ] | _connect            |: [org.bluez.Error.Failed] le-connection-abort-by-local
2023-03-09 18:19:45,938 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-03-09 18:19:45,941 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:19:49,157 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:19:54,491 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:20:06,589 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:20:09,852 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:20:31,646 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
